"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction8","TestBaseFunc8","","","删除记录2",""
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","登陆ZT管理系统",""
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction4","TestBaseFunc4","","","按条件查找记录",""
"failed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction5","TestBaseFunc5","","","更改记录1",""
"failed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction2","TestBaseFunc2","","","增加新的记录1",""
"failed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction7","TestBaseFunc7","","","删除记录1",""
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction1","TestBaseFunc1","","","退出管理系统",""
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","0","uiauto.basetest","test_base_fuction3","TestBaseFunc3","","","增加新的记录2",""
"passed","Tue May 16 16:14:07 CST 2023","Tue May 16 16:14:07 CST 2023","16","uiauto.basetest","test_base_fuction6","TestBaseFunc6","","","更改记录2",""
